protocol,encryption_mode,starttls_offered,starttls_success,tls_version,cipher_suite,key_exchange,forward_secrecy,cert_expired,cert_not_yet_valid,cert_key_algorithm,cert_key_size,cert_signature_algorithm,self_signed,hostname_match,packet_count,bytes_sent,bytes_received,retransmission_count,tls_handshake_duration,session_start,session_end,session_id,session_duration_seconds,bytes_total,avg_packet_size,hour_of_day,day_of_week,week_of_year,rule_risk_label,rule_risk_score
SMTP,STARTTLS,1,1,TLS 1.2,ECDHE_ECDSA_AES_256_GCM_SHA384,ECDHE,1,0,0,ECDSA,384,ECDSA_SHA384,0,1,78,15251,29045,0,0.1073,2026-12-27 16:57:50,2026-12-27 16:58:02,SMS-000032,12.0,44296,567.9,16,6,52,Low,5
SMTP,STARTTLS,1,1,TLS 1.3,TLS_AES_256_GCM_SHA384,X25519,1,0,0,RSA,2048,SHA256_RSA,0,1,41,3492,8737,3,0.1019,2026-09-27 13:31:22,2026-09-27 13:31:30,SMS-000033,8.0,12229,298.27,13,6,39,Low,0
IMAP,STARTTLS,1,1,TLS 1.3,TLS_AES_256_GCM_SHA384,X25519,1,0,0,RSA,2048,SHA256_RSA,0,1,108,12659,57476,0,0.2181,2026-08-21 18:55:08,2026-08-21 18:56:15,SMS-000034,67.0,70135,649.4,18,4,34,Low,0
POP3,STARTTLS,1,1,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,X25519,1,0,0,ECDSA,256,ECDSA_SHA256,0,1,82,14554,21288,3,0.2402,2026-12-26 15:55:35,2026-12-26 15:55:44,SMS-000035,9.0,35842,437.1,15,5,52,Low,0
IMAP,STARTTLS,1,1,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,X25519,1,0,0,ECDSA,256,ECDSA_SHA256,0,1,145,27535,63534,1,0.1156,2026-11-07 20:34:14,2026-11-07 20:34:36,SMS-000036,22.0,91069,628.06,20,5,45,Low,0
POP3,STARTTLS,1,1,TLS 1.2,ECDHE_ECDSA_AES_256_GCM_SHA384,ECDHE,1,0,0,ECDSA,384,ECDSA_SHA384,0,1,148,25843,59867,0,0.2107,2026-09-01 04:05:53,2026-09-01 04:06:03,SMS-000037,10.0,85710,579.12,4,1,36,Low,5
IMAP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,0,0,RSA,2048,SHA256_RSA,0,0,401,84389,143958,0,0.2156,2026-12-27 23:36:50,2026-12-27 23:37:22,SMS-000038,32.0,228347,569.44,23,6,52,Medium,25
IMAP,STARTTLS,1,1,TLS 1.3,TLS_AES_256_GCM_SHA384,X25519,1,0,0,RSA,2048,SHA256_RSA,0,1,217,28413,129787,0,0.2482,2026-09-14 06:28:43,2026-09-14 06:29:37,SMS-000039,54.0,158200,729.03,6,0,38,Low,0
SMTP,PLAINTEXT,0,0,,,,0,0,0,,0,,0,0,93,12689,47617,3,0.0,2026-12-18 23:53:32,2026-12-18 23:53:33,SMS-000040,1.0,60306,648.45,23,4,51,High,65
SMTP,PLAINTEXT,0,0,,,,0,0,0,,0,,0,0,246,50697,70268,6,0.0,2026-05-27 19:41:46,2026-05-27 19:41:49,SMS-000041,3.0,120965,491.73,19,2,22,High,65
SMTP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_256_GCM_SHA384,ECDHE,1,0,0,RSA,2048,SHA256_RSA,0,1,50,8895,10797,0,0.2997,2026-10-08 08:26:06,2026-10-08 08:26:20,SMS-000042,14.0,19692,393.84,8,3,41,Low,5
IMAP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,1,0,RSA,2048,SHA256_RSA,0,1,91,8875,38839,1,0.0732,2026-01-25 06:54:38,2026-01-25 06:55:18,SMS-000043,40.0,47714,524.33,6,6,4,Medium,30
IMAP,PLAINTEXT,0,0,,,,0,0,0,,0,,0,0,172,37148,115872,6,0.0,2026-09-14 04:36:03,2026-09-14 04:38:10,SMS-000044,127.0,153020,889.65,4,0,38,High,65
SMTP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_256_GCM_SHA384,ECDHE,1,0,0,RSA,2048,SHA256_RSA,0,1,98,11956,31264,0,0.0747,2026-01-19 05:21:37,2026-01-19 05:21:44,SMS-000045,7.0,43220,441.02,5,0,4,Low,5
SMTP,STARTTLS,1,1,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,X25519,1,0,0,ECDSA,256,ECDSA_SHA256,0,1,134,25449,70023,1,0.2876,2026-11-23 16:43:05,2026-11-23 16:43:13,SMS-000046,8.0,95472,712.48,16,0,48,Low,0
SMTP,STARTTLS,1,1,TLS 1.1,AES_128_CBC_SHA,RSA,0,0,0,RSA,2048,SHA1_RSA,0,1,115,18959,26243,3,0.2859,2026-02-19 13:56:14,2026-02-19 13:56:21,SMS-000047,7.0,45202,393.06,13,3,8,High,45
SMTP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,1,0,RSA,2048,SHA256_RSA,0,1,79,12658,21771,2,0.163,2026-03-27 23:56:43,2026-03-27 23:56:52,SMS-000048,9.0,34429,435.81,23,4,13,Medium,30
IMAP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,0,0,RSA,2048,SHA256_RSA,1,1,152,12716,49443,1,0.1334,2026-05-29 00:26:47,2026-05-29 00:26:58,SMS-000049,11.0,62159,408.94,0,4,22,Medium,20
SMTP,STARTTLS,1,1,TLS 1.3,TLS_AES_256_GCM_SHA384,X25519,1,0,0,RSA,2048,SHA256_RSA,0,1,263,46877,129345,2,0.1068,2026-06-03 05:33:56,2026-06-03 05:34:25,SMS-000050,29.0,176222,670.05,5,2,23,Low,0
SMTP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_256_GCM_SHA384,ECDHE,1,0,0,RSA,2048,SHA256_RSA,0,1,95,10762,12108,31,1.4467,2026-05-17 03:04:02,2026-05-17 03:05:13,SMS-000051,71.0,22870,240.74,3,6,20,Low,5
IMAP,STARTTLS,1,1,TLS 1.3,TLS_AES_256_GCM_SHA384,X25519,1,0,0,RSA,2048,SHA256_RSA,0,1,139,12312,42029,0,0.1919,2026-08-17 05:39:22,2026-08-17 05:40:05,SMS-000052,43.0,54341,390.94,5,0,34,Low,0
IMAP,STARTTLS,1,1,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,X25519,1,0,0,ECDSA,256,ECDSA_SHA256,0,1,106,11745,30459,1,0.0587,2026-04-15 10:33:50,2026-04-15 10:34:02,SMS-000053,12.0,42204,398.15,10,2,16,Low,0
IMAP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,0,0,RSA,2048,SHA256_RSA,1,0,30,2346,16045,0,0.104,2026-09-27 13:12:51,2026-09-27 13:12:59,SMS-000054,8.0,18391,613.03,13,6,39,High,40
SMTP,STARTTLS,1,1,TLS 1.2,AES_256_GCM_SHA384,RSA,0,0,0,RSA,2048,SHA256_RSA,0,1,269,29047,73822,3,0.0819,2026-06-18 18:48:19,2026-06-18 18:48:34,SMS-000055,15.0,102869,382.41,18,3,25,Low,15
SMTP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_256_GCM_SHA384,ECDHE,1,0,0,RSA,2048,SHA256_RSA,0,1,128,24837,52482,1,0.1901,2026-06-21 08:18:33,2026-06-21 08:18:43,SMS-000056,10.0,77319,604.05,8,6,25,Low,5
SMTP,STARTTLS,1,1,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,X25519,1,0,0,ECDSA,256,ECDSA_SHA256,0,1,214,20428,87523,0,0.1414,2026-12-29 22:27:05,2026-12-29 22:27:08,SMS-000057,3.0,107951,504.44,22,1,53,Low,0
SMTP,STARTTLS,1,1,TLS 1.3,TLS_AES_256_GCM_SHA384,X25519,1,0,0,RSA,2048,SHA256_RSA,0,1,260,30896,113572,2,0.2728,2026-01-19 06:48:34,2026-01-19 06:48:42,SMS-000058,8.0,144468,555.65,6,0,4,Low,0
SMTP,STARTTLS,1,1,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,X25519,1,0,0,ECDSA,256,ECDSA_SHA256,0,1,211,33192,78839,1,0.3127,2026-03-14 16:35:32,2026-03-14 16:35:43,SMS-000059,11.0,112031,530.95,16,5,11,Low,0
IMAP,STARTTLS,1,1,TLS 1.2,AES_128_GCM_SHA256,RSA,0,0,0,RSA,1024,SHA1_RSA,0,1,46,3871,16577,1,0.2501,2026-03-24 16:35:48,2026-03-24 16:35:54,SMS-000060,6.0,20448,444.52,16,1,13,High,45
SMTP,STARTTLS,1,1,TLS 1.2,AES_256_GCM_SHA384,RSA,0,0,0,RSA,2048,SHA256_RSA,0,1,141,18194,33098,0,0.389,2026-05-11 01:44:57,2026-05-11 01:45:06,SMS-000061,9.0,51292,363.77,1,0,20,Low,15
POP3,STARTTLS,1,1,TLS 1.0,AES_128_CBC_SHA,RSA,0,0,0,RSA,2048,SHA1_RSA,0,1,178,32886,76008,1,0.3024,2026-09-10 07:44:27,2026-09-10 07:44:50,SMS-000062,23.0,108894,611.76,7,3,37,High,55
SMTP,STARTTLS,1,1,TLS 1.3,TLS_AES_256_GCM_SHA384,X25519,1,0,0,RSA,2048,SHA256_RSA,0,1,120,22273,57587,0,0.0711,2026-01-09 16:54:36,2026-01-09 16:55:00,SMS-000063,24.0,79860,665.5,16,4,2,Low,0
POP3,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,1,0,RSA,2048,SHA256_RSA,0,1,69,8211,32723,1,0.1648,2026-04-06 02:02:03,2026-04-06 02:02:06,SMS-000064,3.0,40934,593.25,2,0,15,Medium,30
SMTP,STARTTLS,1,1,TLS 1.3,TLS_AES_256_GCM_SHA384,X25519,1,0,0,RSA,2048,SHA256_RSA,0,1,191,38070,35878,1,0.0928,2026-07-02 19:06:25,2026-07-02 19:06:39,SMS-000065,14.0,73948,387.16,19,3,27,Low,0
SMTP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,0,0,RSA,2048,SHA256_RSA,1,0,171,34740,62911,2,0.1349,2026-02-10 02:18:48,2026-02-10 02:20:22,SMS-000066,94.0,97651,571.06,2,1,7,High,40
IMAP,STARTTLS,1,1,TLS 1.3,TLS_AES_256_GCM_SHA384,X25519,1,0,0,RSA,2048,SHA256_RSA,0,1,220,23787,84774,0,0.2962,2026-05-16 23:28:49,2026-05-16 23:28:56,SMS-000067,7.0,108561,493.46,23,5,20,Low,0
IMAP,STARTTLS,1,1,TLS 1.2,ECDHE_ECDSA_AES_128_GCM_SHA256,ECDHE,1,0,0,ECDSA,256,ECDSA_SHA256,0,1,102,10267,37402,0,0.2622,2026-05-02 02:45:38,2026-05-02 02:46:16,SMS-000068,38.0,47669,467.34,2,5,18,Low,5
SMTP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,0,0,RSA,2048,SHA256_RSA,1,0,126,24423,35330,1,0.292,2026-12-03 14:33:17,2026-12-03 14:33:33,SMS-000069,16.0,59753,474.23,14,3,49,High,40
SMTP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_256_GCM_SHA384,ECDHE,1,0,0,RSA,2048,SHA256_RSA,0,1,1090,69980,267600,0,0.1579,2026-10-08 08:34:58,2026-10-08 08:35:10,SMS-000070,12.0,337580,309.71,8,3,41,Low,5
POP3,STARTTLS,1,1,TLS 1.2,ECDHE_ECDSA_AES_256_GCM_SHA384,ECDHE,1,0,0,ECDSA,384,ECDSA_SHA384,0,1,63,9911,26011,0,0.5391,2026-03-15 08:12:27,2026-03-15 08:12:35,SMS-000071,8.0,35922,570.19,8,6,11,Low,5
IMAP,STARTTLS,1,1,TLS 1.2,ECDHE_ECDSA_AES_128_GCM_SHA256,ECDHE,1,0,0,ECDSA,256,ECDSA_SHA256,0,1,146,12388,116960,1,0.1737,2026-07-20 18:53:12,2026-07-20 18:53:31,SMS-000072,19.0,129348,885.95,18,0,30,Low,5
POP3,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,0,0,RSA,2048,SHA256_RSA,1,1,106,25474,38454,3,0.2269,2026-04-03 01:13:54,2026-04-03 01:14:18,SMS-000073,24.0,63928,603.09,1,4,14,Medium,20
SMTP,STARTTLS,1,1,TLS 1.3,TLS_AES_256_GCM_SHA384,X25519,1,0,0,RSA,2048,SHA256_RSA,0,1,253,15714,84685,0,0.8966,2026-07-17 11:13:36,2026-07-17 11:13:40,SMS-000074,4.0,100399,396.83,11,4,29,Low,0
SMTP,STARTTLS,1,1,TLS 1.1,AES_128_CBC_SHA,RSA,0,0,0,RSA,2048,SHA1_RSA,0,1,178,13998,61949,3,0.3877,2026-12-05 15:09:34,2026-12-05 15:09:38,SMS-000075,4.0,75947,426.67,15,5,49,High,45
SMTP,STARTTLS,1,1,TLS 1.2,ECDHE_ECDSA_AES_128_GCM_SHA256,ECDHE,1,0,0,ECDSA,256,ECDSA_SHA256,0,1,276,25090,65528,2,0.1599,2026-01-14 06:02:58,2026-01-14 06:02:59,SMS-000076,1.0,90618,328.33,6,2,3,Low,5
SMTP,STARTTLS,1,1,TLS 1.3,TLS_AES_256_GCM_SHA384,X25519,1,0,0,RSA,2048,SHA256_RSA,0,1,97,24320,22319,2,0.1654,2026-07-06 05:52:27,2026-07-06 05:52:40,SMS-000077,13.0,46639,480.81,5,0,28,Low,0
SMTP,STARTTLS,1,1,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,X25519,1,0,0,ECDSA,256,ECDSA_SHA256,0,1,217,48481,100375,3,0.2778,2026-08-07 10:01:28,2026-08-07 10:01:36,SMS-000078,8.0,148856,685.97,10,4,32,Low,0
SMTP,PLAINTEXT,0,0,,,,0,0,0,,0,,0,0,151,22956,48080,2,0.0,2026-06-15 01:15:35,2026-06-15 01:15:38,SMS-000079,3.0,71036,470.44,1,0,25,High,65
SMTP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_256_GCM_SHA384,ECDHE,1,0,0,RSA,2048,SHA256_RSA,0,1,205,18920,85685,1,0.301,2026-03-14 14:13:49,2026-03-14 14:13:54,SMS-000080,5.0,104605,510.27,14,5,11,Low,5
IMAP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,0,0,RSA,2048,SHA256_RSA,1,1,604,72422,265319,1,0.173,2026-10-04 05:03:45,2026-10-04 05:04:14,SMS-000081,29.0,337741,559.17,5,6,40,Medium,20
SMTP,STARTTLS,1,1,TLS 1.2,AES_128_GCM_SHA256,RSA,0,0,0,RSA,1024,SHA1_RSA,0,1,154,11029,41555,1,0.2406,2026-11-01 01:28:01,2026-11-01 01:28:19,SMS-000082,18.0,52584,341.45,1,6,44,High,45
SMTP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,1,0,RSA,2048,SHA256_RSA,0,1,87,9446,37537,0,0.2031,2026-05-07 03:25:17,2026-05-07 03:25:21,SMS-000083,4.0,46983,540.03,3,3,19,Medium,30
POP3,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_256_GCM_SHA384,ECDHE,1,0,0,RSA,2048,SHA256_RSA,0,1,128,19911,54680,0,0.0979,2026-04-23 19:48:06,2026-04-23 19:48:14,SMS-000084,8.0,74591,582.74,19,3,17,Low,5
IMAP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,0,0,RSA,2048,SHA256_RSA,1,1,53,6874,26862,2,0.1744,2026-12-05 17:45:32,2026-12-05 17:46:11,SMS-000085,39.0,33736,636.53,17,5,49,Medium,20
SMTP,STARTTLS,1,1,TLS 1.2,ECDHE_ECDSA_AES_128_GCM_SHA256,ECDHE,1,0,0,ECDSA,256,ECDSA_SHA256,0,1,102,19450,40663,2,0.1204,2026-09-12 17:06:40,2026-09-12 17:06:42,SMS-000086,2.0,60113,589.34,17,5,37,Low,5
POP3,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,1,0,RSA,2048,SHA256_RSA,0,1,112,24903,22355,21,0.5695,2026-01-17 00:22:56,2026-01-17 00:23:22,SMS-000087,26.0,47258,421.95,0,5,3,Medium,30
POP3,PLAINTEXT,0,0,,,,0,0,0,,0,,0,0,90,14584,13772,3,0.0,2026-03-04 10:56:32,2026-03-04 10:56:41,SMS-000088,9.0,28356,315.07,10,2,10,High,65
SMTP,STARTTLS,1,1,TLS 1.3,TLS_AES_256_GCM_SHA384,X25519,1,0,0,RSA,2048,SHA256_RSA,0,1,100,17774,23536,2,0.5455,2026-09-24 17:29:18,2026-09-24 17:29:20,SMS-000089,2.0,41310,413.1,17,3,39,Low,0
IMAP,STARTTLS,1,1,TLS 1.3,TLS_AES_256_GCM_SHA384,X25519,1,0,0,RSA,2048,SHA256_RSA,0,1,138,19658,43567,0,0.2249,2026-01-23 15:58:28,2026-01-23 15:58:42,SMS-000090,14.0,63225,458.15,15,4,4,Low,0
SMTP,STARTTLS,1,1,TLS 1.2,ECDHE_ECDSA_AES_128_GCM_SHA256,ECDHE,1,0,0,ECDSA,256,ECDSA_SHA256,0,1,53,7039,28065,34,0.4109,2026-08-30 17:23:15,2026-08-30 17:24:11,SMS-000091,56.0,35104,662.34,17,6,35,Low,5
IMAP,PLAINTEXT,0,0,,,,0,0,0,,0,,0,0,61,7985,24249,3,0.0,2026-07-15 02:03:56,2026-07-15 02:04:12,SMS-000092,16.0,32234,528.43,2,2,29,High,65
IMAP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,0,0,RSA,2048,SHA256_RSA,1,0,200,26339,95761,1,0.0562,2026-12-15 20:48:29,2026-12-15 20:48:38,SMS-000093,9.0,122100,610.5,20,1,51,High,40
SMTP,STARTTLS,1,1,TLS 1.2,ECDHE_ECDSA_AES_128_GCM_SHA256,ECDHE,1,0,0,ECDSA,256,ECDSA_SHA256,0,1,155,13197,72856,0,0.0871,2026-03-08 01:13:48,2026-03-08 01:13:55,SMS-000094,7.0,86053,555.18,1,6,10,Low,5
